accuracy,brier,delta_self,delta_tolerance,ece,intensity,k_auto,macro_f1,method,nll,seed,shift,steps,trigger_reason,trigger_step,triggered
0.6142857142857143,0.5132583064795708,0.000262045160929362,0.05,0.13790555894374845,0.5,,0.6002155318864877,full_method_detector_fixed,0.8573223352432251,0,homophily_shift,48,phi>0.200,47,True
0.6857142857142857,0.4340639701692909,0.000262045160929362,0.000524090321858724,0.09496647034372602,0.5,2.0,0.6830670038056884,full_method_detector_auto,0.7221726179122925,0,homophily_shift,3,delta>0.001,2,True
0.9142857142857143,0.1262361986626119,0.000262045160929362,0.05,0.06222594550677711,0.25,,0.9144741406697902,full_method_detector_fixed,0.23478102684020996,0,homophily_shift,90,,,False
0.9142857142857143,0.12675036563711964,0.000262045160929362,0.000524090321858724,0.06182171404361724,0.25,2.0,0.9145183175033921,full_method_detector_auto,0.23885636031627655,0,homophily_shift,5,delta>0.001,4,True
0.580952380952381,0.5897629954746239,0.00018598963419596355,0.05,0.2044494430224101,0.5,,0.5733333333333334,full_method_detector_fixed,1.0768722295761108,1,homophily_shift,41,phi>0.200,40,True
0.6523809523809524,0.5025077004006945,0.00018598963419596355,0.0003719792683919271,0.10291836247557687,0.5,2.0,0.6498982106503804,full_method_detector_auto,0.8790358304977417,1,homophily_shift,3,delta>0.000,2,True
0.8523809523809524,0.2025558229271429,0.00018598963419596355,0.05,0.060281293874695205,0.25,,0.8526423308733314,full_method_detector_fixed,0.35313835740089417,1,homophily_shift,90,,,False
0.8523809523809524,0.19503255458476862,0.00018598963419596355,0.0003719792683919271,0.05879112709136234,0.25,2.0,0.852332662652354,full_method_detector_auto,0.3365325331687927,1,homophily_shift,6,delta>0.000,5,True
0.5190476190476191,0.6653284663238611,0.0002506805419921875,0.05,0.24977183256830487,0.5,,0.4818468371659861,full_method_detector_fixed,1.1494520902633667,2,homophily_shift,30,delta>0.050,29,True
0.6142857142857143,0.5225813777038324,0.0002506805419921875,0.000501361083984375,0.14162753721078236,0.5,2.0,0.6034039849829324,full_method_detector_auto,0.8630183339118958,2,homophily_shift,2,delta>0.001,1,True
0.8857142857142857,0.1574129515643109,0.0002506805419921875,0.05,0.03933510312012266,0.25,,0.8858856471995158,full_method_detector_fixed,0.28245067596435547,2,homophily_shift,90,,,False
0.8857142857142857,0.164202026937897,0.0002506805419921875,0.000501361083984375,0.04179542944544836,0.25,2.0,0.8858742208638688,full_method_detector_auto,0.2981123924255371,2,homophily_shift,5,delta>0.001,4,True
0.6428571428571429,0.5119155514750404,0.00022254714965820312,0.05,0.14997004327319918,0.5,,0.6310869637873698,full_method_detector_fixed,0.8924839496612549,3,homophily_shift,63,phi>0.200,62,True
0.6619047619047619,0.44921727338615963,0.00022254714965820312,0.00044509429931640623,0.10642460641406833,0.5,2.0,0.6597649583667897,full_method_detector_auto,0.7464383244514465,3,homophily_shift,3,delta>0.000,2,True
0.9,0.13804092202009505,0.00022254714965820312,0.05,0.0360955380258106,0.25,,0.9000670861984731,full_method_detector_fixed,0.25566479563713074,3,homophily_shift,90,,,False
0.8952380952380953,0.13793030741116916,0.00022254714965820312,0.00044509429931640623,0.04172612755071547,0.25,2.0,0.8953467204952973,full_method_detector_auto,0.25691747665405273,3,homophily_shift,6,delta>0.000,5,True
0.5190476190476191,0.6670043375451755,0.0002402894655863444,0.05,0.23873351273082555,0.5,,0.48895636527215475,full_method_detector_fixed,1.1683932542800903,4,homophily_shift,31,phi>0.200,30,True
0.5952380952380952,0.5275053558355366,0.0002402894655863444,0.0004805789311726888,0.12398604268119448,0.5,2.0,0.5884365240349013,full_method_detector_auto,0.8895306587219238,4,homophily_shift,2,delta>0.000,1,True
0.8714285714285714,0.19410257505442474,0.0002402894655863444,0.05,0.03966576755046846,0.25,,0.8704684240897659,full_method_detector_fixed,0.35400527715682983,4,homophily_shift,90,,,False
0.8666666666666667,0.17830500764721452,0.0002402894655863444,0.0004805789311726888,0.06438660522301992,0.25,2.0,0.8659936879235124,full_method_detector_auto,0.3340665400028229,4,homophily_shift,4,delta>0.000,3,True
