accuracy,brier,ece,intensity,lambda_af,lambda_cal,nll,seed,shift
0.9636363636363636,0.05687552817621948,0.030844702142657658,0.45,0.0,0.0,0.09552322328090668,0,feature_noise
0.9575757575757575,0.056876320376458823,0.025104998097275243,0.45,0.001,0.1,0.09552446007728577,0,feature_noise
0.9575757575757575,0.056883382424998984,0.025106721935850205,0.45,0.01,0.5,0.09553565084934235,0,feature_noise
0.9575757575757575,0.05691341769425959,0.025114570964466443,0.45,0.05,1.0,0.09558320790529251,0,feature_noise
0.9575757575757575,0.056948126171172175,0.024314866282723165,0.45,0.1,2.0,0.09563834965229034,0,feature_noise
0.9636363636363636,0.061759199939521316,0.04910669037790009,0.35,0.0,0.0,0.11702793836593628,0,edge_add
0.9636363636363636,0.061759702750628975,0.04910872596682925,0.35,0.001,0.1,0.11703187227249146,0,edge_add
0.9636363636363636,0.06176413740308794,0.04912585598049742,0.35,0.01,0.5,0.11706651747226715,0,edge_add
0.9636363636363636,0.06178342404642227,0.04919840892155965,0.35,0.05,1.0,0.11721405386924744,0,edge_add
0.9636363636363636,0.0618068682260594,0.04928311254038954,0.35,0.1,2.0,0.11738581955432892,0,edge_add
0.793939393939394,0.2702921359055635,0.08365244124874927,0.25,0.0,0.0,0.47985175251960754,0,homophily_shift
0.793939393939394,0.27028640596830056,0.08364605108896894,0.25,0.001,0.1,0.47982603311538696,0,homophily_shift
0.793939393939394,0.2702368254392362,0.08358790531302945,0.25,0.01,0.5,0.47960081696510315,0,homophily_shift
0.793939393939394,0.2700326609385503,0.08599389972108785,0.25,0.05,1.0,0.47865673899650574,0,homophily_shift
0.793939393939394,0.26980632418542533,0.08565795222918193,0.25,0.1,2.0,0.47758835554122925,0,homophily_shift
0.9515151515151515,0.0843212517990509,0.03946190927967878,0.45,0.0,0.0,0.168560191988945,1,feature_noise
0.9515151515151515,0.08432613642767468,0.03946081183173437,0.45,0.001,0.1,0.16857188940048218,1,feature_noise
0.9515151515151515,0.08436968449655982,0.039233519814231156,0.45,0.01,0.5,0.16867637634277344,1,feature_noise
0.9515151515151515,0.08455801054104141,0.03919789682735094,0.45,0.05,1.0,0.1691279411315918,1,feature_noise
0.9515151515151515,0.08477740928813994,0.03915645859458228,0.45,0.1,2.0,0.16965128481388092,1,feature_noise
0.9272727272727272,0.1047125973770588,0.04227636041063251,0.35,0.0,0.0,0.18152311444282532,1,edge_add
0.9272727272727272,0.10471393603544359,0.042277353821378774,0.35,0.001,0.1,0.18152670562267303,1,edge_add
0.9272727272727272,0.1047257320982628,0.042285579262357764,0.35,0.01,0.5,0.18155841529369354,1,edge_add
0.9272727272727272,0.10477611971540847,0.0423198533780647,0.35,0.05,1.0,0.18169240653514862,1,edge_add
0.9272727272727272,0.10483509099571395,0.048824706222071794,0.35,0.1,2.0,0.181848406791687,1,edge_add
0.806060606060606,0.29048848313472725,0.09362434672586847,0.25,0.0,0.0,0.5121434330940247,1,homophily_shift
0.806060606060606,0.290485527536983,0.09361903739698009,0.25,0.001,0.1,0.5121281147003174,1,homophily_shift
0.806060606060606,0.2904593086402203,0.09357215075781855,0.25,0.01,0.5,0.5119906663894653,1,homophily_shift
0.806060606060606,0.29035154019785364,0.09763120178020365,0.25,0.05,1.0,0.5114222764968872,1,homophily_shift
0.8,0.2902314325133622,0.09280248067595745,0.25,0.1,2.0,0.5107845664024353,1,homophily_shift
0.9939393939393939,0.015549679911814227,0.018083171410994095,0.45,0.0,0.0,0.03294267877936363,2,feature_noise
0.9939393939393939,0.01554953929021103,0.018083405855930216,0.45,0.001,0.1,0.03294321522116661,2,feature_noise
0.9939393939393939,0.0155482893010437,0.01808499964800748,0.45,0.01,0.5,0.032947931438684464,2,feature_noise
0.9939393939393939,0.015543126857151247,0.01809169090155399,0.45,0.05,1.0,0.03296812251210213,2,feature_noise
0.9939393939393939,0.01553751021970204,0.019718063600135574,0.45,0.1,2.0,0.03299175947904587,2,feature_noise
0.9696969696969697,0.04793218879384401,0.04501207633451982,0.35,0.0,0.0,0.09155531227588654,2,edge_add
0.9696969696969697,0.047934141900957725,0.045015154282252,0.35,0.001,0.1,0.09155958145856857,2,edge_add
0.9696969696969697,0.04795132799240539,0.0450417955716451,0.35,0.01,0.5,0.09159669280052185,2,edge_add
0.9696969696969697,0.04802425598064181,0.04515306172948895,0.35,0.05,1.0,0.09175273776054382,2,edge_add
0.9696969696969697,0.04810928815374711,0.045282205126502294,0.35,0.1,2.0,0.09193424135446548,2,edge_add
0.896969696969697,0.18491238922495065,0.06497739119963213,0.25,0.0,0.0,0.32510125637054443,2,homophily_shift
0.896969696969697,0.18491309678291407,0.06497753316705879,0.25,0.001,0.1,0.32510218024253845,2,homophily_shift
0.896969696969697,0.18491925801352277,0.06497973853891546,0.25,0.01,0.5,0.3251115381717682,2,homophily_shift
0.8909090909090909,0.18494620243201193,0.058927047433275176,0.25,0.05,1.0,0.32515162229537964,2,homophily_shift
0.8909090909090909,0.1849789162194347,0.05414970589406563,0.25,0.1,2.0,0.3251969814300537,2,homophily_shift
